,Dataset,Group,nDCG normal,rND normal,GPA normal,nDCG p_value,rND p_value,GPA p_value
0,Adult,x > y,not normal,not normal,not normal,0.3639843165874481,0.0013956452021375299,0.010695993900299072
0,Adult,x < y,not normal,not normal,not normal,0.03286117687821388,0.03208243101835251,0.00353698106482625
0,Adult,x == y,not normal,not normal,normal,0.3962949812412262,0.04190801829099655,0.8456354141235352
0,Compas,x > y,not normal,not normal,not normal,0.1282309889793396,0.06897318363189697,0.4004654288291931
0,Compas,x < y,not normal,not normal,not normal,0.00048394029727205634,0.33953091502189636,0.07885497808456421
0,Compas,x == y,not normal,not normal,not normal,0.3301032781600952,0.15017662942409515,0.33590155839920044
0,Law-Gender,x > y,normal,not normal,not normal,0.7971984148025513,0.494096577167511,2.5234585532274423e-09
0,Law-Gender,x < y,not normal,not normal,not normal,1.6967518945421034e-08,0.33113208413124084,3.298990591815709e-08
0,Law-Gender,x == y,not normal,normal,not normal,0.22013400495052338,0.8046764135360718,5.333471563062631e-06
0,Law-Race,x > y,not normal,not normal,not normal,0.05955639109015465,0.0004493368323892355,0.00820340309292078
0,Law-Race,x < y,not normal,not normal,not normal,6.387650500983e-05,0.0004121685051359236,4.0117953403751017e-10
0,Law-Race,x == y,not normal,normal,not normal,0.43403360247612,0.5517812371253967,0.23570214211940765
