group1,group2,meandiff,p-adj,lower,upper,reject,needed samples
[1; 1],[1; 2],-0.0046,0.945,-0.0161,0.0069,False,146.9
[1; 1],[1; 3],-0.0115,0.051,-0.023,0.0,False,22.75
[1; 1],[1; 4],-0.0129,0.0149,-0.0245,-0.0014,True,26.63
[1; 1],[1; 5],-0.0213,0.0,-0.0328,-0.0098,True,7.66
[1; 1],[2; 1],0.0006,1.0,-0.0109,0.0121,False,8606.77
[1; 1],[3; 1],0.0033,0.9934,-0.0082,0.0148,False,298.23
[1; 1],[4; 1],0.0012,1.0,-0.0103,0.0127,False,3458.95
[1; 1],[5; 1],-0.0016,1.0,-0.0131,0.0099,False,1273.61
[1; 2],[1; 3],-0.0069,0.6323,-0.0184,0.0046,False,47.23
[1; 2],[1; 4],-0.0084,0.3651,-0.0199,0.0032,False,52.92
[1; 2],[1; 5],-0.0167,0.0003,-0.0282,-0.0052,True,9.34
[1; 2],[2; 1],0.0052,0.8931,-0.0063,0.0167,False,91.19
[1; 2],[3; 1],0.0079,0.4514,-0.0037,0.0194,False,41.55
[1; 2],[4; 1],0.0058,0.8223,-0.0058,0.0173,False,123.91
[1; 2],[5; 1],0.003,0.9963,-0.0085,0.0145,False,282.12
[1; 3],[1; 4],-0.0015,1.0,-0.013,0.0101,False,1619.36
[1; 3],[1; 5],-0.0098,0.1632,-0.0214,0.0017,False,22.82
[1; 3],[2; 1],0.0121,0.0314,0.0006,0.0236,True,16.25
[1; 3],[3; 1],0.0148,0.0025,0.0032,0.0263,True,11.61
[1; 3],[4; 1],0.0127,0.0192,0.0011,0.0242,True,25.2
[1; 3],[5; 1],0.0099,0.1565,-0.0016,0.0214,False,24.78
[1; 4],[1; 5],-0.0084,0.36,-0.0199,0.0031,False,51.27
[1; 4],[2; 1],0.0135,0.0086,0.002,0.0251,True,20.9
[1; 4],[3; 1],0.0162,0.0005,0.0047,0.0277,True,15.19
[1; 4],[4; 1],0.0141,0.0049,0.0026,0.0256,True,27.6
[1; 4],[5; 1],0.0114,0.0566,-0.0002,0.0229,False,30.11
[1; 5],[2; 1],0.0219,0.0,0.0104,0.0334,True,6.0
[1; 5],[3; 1],0.0246,0.0,0.0131,0.0361,True,5.16
[1; 5],[4; 1],0.0225,0.0,0.011,0.034,True,8.96
[1; 5],[5; 1],0.0197,0.0,0.0082,0.0313,True,7.38
[2; 1],[3; 1],0.0027,0.9984,-0.0088,0.0142,False,356.53
[2; 1],[4; 1],0.0006,1.0,-0.0109,0.0121,False,12554.09
[2; 1],[5; 1],-0.0022,0.9996,-0.0137,0.0093,False,536.32
[3; 1],[4; 1],-0.0021,0.9997,-0.0136,0.0094,False,952.93
[3; 1],[5; 1],-0.0049,0.9248,-0.0164,0.0067,False,112.8
[4; 1],[5; 1],-0.0028,0.998,-0.0143,0.0088,False,554.28
[1; 1],[1; 2],-0.0709,0.0,-0.0848,-0.0569,True,2.16
[1; 1],[1; 3],-0.1151,0.0,-0.129,-0.1011,True,10.0
[1; 1],[1; 4],-0.1392,0.0,-0.1531,-0.1252,True,10.0
[1; 1],[1; 5],-0.1631,0.0,-0.177,-0.1491,True,10.0
[1; 1],[2; 1],0.0354,0.0,0.0214,0.0493,True,2.96
[1; 1],[3; 1],0.047,0.0,0.0331,0.061,True,3.34
[1; 1],[4; 1],0.047,0.0,0.0331,0.061,True,2.93
[1; 1],[5; 1],0.0498,0.0,0.0358,0.0638,True,2.81
[1; 2],[1; 3],-0.0442,0.0,-0.0582,-0.0302,True,3.86
[1; 2],[1; 4],-0.0683,0.0,-0.0823,-0.0543,True,2.62
[1; 2],[1; 5],-0.0922,0.0,-0.1062,-0.0782,True,2.08
[1; 2],[2; 1],0.1062,0.0,0.0923,0.1202,True,10.0
[1; 2],[3; 1],0.1179,0.0,0.1039,0.1319,True,10.0
[1; 2],[4; 1],0.1179,0.0,0.1039,0.1319,True,10.0
[1; 2],[5; 1],0.1207,0.0,0.1067,0.1346,True,10.0
[1; 3],[1; 4],-0.0241,0.0,-0.0381,-0.0101,True,12.89
[1; 3],[1; 5],-0.048,0.0,-0.062,-0.034,True,3.9
[1; 3],[2; 1],0.1504,0.0,0.1365,0.1644,True,10.0
[1; 3],[3; 1],0.1621,0.0,0.1481,0.1761,True,10.0
[1; 3],[4; 1],0.1621,0.0,0.1481,0.1761,True,10.0
[1; 3],[5; 1],0.1649,0.0,0.1509,0.1788,True,10.0
[1; 4],[1; 5],-0.0239,0.0,-0.0379,-0.0099,True,12.89
[1; 4],[2; 1],0.1745,0.0,0.1606,0.1885,True,10.0
[1; 4],[3; 1],0.1862,0.0,0.1722,0.2002,True,10.0
[1; 4],[4; 1],0.1862,0.0,0.1722,0.2002,True,10.0
[1; 4],[5; 1],0.189,0.0,0.175,0.203,True,10.0
[1; 5],[2; 1],0.1984,0.0,0.1844,0.2124,True,10.0
[1; 5],[3; 1],0.2101,0.0,0.1961,0.2241,True,10.0
[1; 5],[4; 1],0.2101,0.0,0.1961,0.2241,True,10.0
[1; 5],[5; 1],0.2129,0.0,0.1989,0.2268,True,10.0
[2; 1],[3; 1],0.0117,0.1877,-0.0023,0.0256,False,27.82
[2; 1],[4; 1],0.0117,0.1867,-0.0023,0.0256,False,20.32
[2; 1],[5; 1],0.0144,0.0368,0.0005,0.0284,True,13.96
[3; 1],[4; 1],0.0,1.0,-0.014,0.014,False,47304077.27
[3; 1],[5; 1],0.0028,0.9995,-0.0112,0.0168,False,674.13
[4; 1],[5; 1],0.0028,0.9995,-0.0112,0.0167,False,546.64
[1; 1],[1; 2],-0.0521,0.0,-0.0654,-0.0388,True,2.39
[1; 1],[1; 3],-0.0276,0.0,-0.0409,-0.0143,True,6.07
[1; 1],[1; 4],-0.0112,0.1757,-0.0245,0.0021,False,40.57
[1; 1],[1; 5],0.0134,0.0471,0.0001,0.0267,True,28.45
[1; 1],[2; 1],0.0344,0.0,0.0211,0.0477,True,4.05
[1; 1],[3; 1],0.0435,0.0,0.0302,0.0568,True,3.9
[1; 1],[4; 1],0.0445,0.0,0.0312,0.0578,True,3.29
[1; 1],[5; 1],0.0482,0.0,0.0349,0.0615,True,3.14
[1; 2],[1; 3],0.0245,0.0,0.0112,0.0378,True,5.26
[1; 2],[1; 4],0.0409,0.0,0.0276,0.0542,True,3.48
[1; 2],[1; 5],0.0655,0.0,0.0522,0.0788,True,2.3
[1; 2],[2; 1],0.0865,0.0,0.0732,0.0998,True,10.0
[1; 2],[3; 1],0.0955,0.0,0.0822,0.1088,True,10.0
[1; 2],[4; 1],0.0966,0.0,0.0833,0.1099,True,10.0
[1; 2],[5; 1],0.1003,0.0,0.087,0.1136,True,10.0
[1; 3],[1; 4],0.0164,0.0045,0.0031,0.0297,True,19.03
[1; 3],[1; 5],0.041,0.0,0.0277,0.0543,True,4.07
[1; 3],[2; 1],0.0621,0.0,0.0488,0.0754,True,2.29
[1; 3],[3; 1],0.0711,0.0,0.0578,0.0844,True,2.4
[1; 3],[4; 1],0.0721,0.0,0.0588,0.0854,True,2.2
[1; 3],[5; 1],0.0758,0.0,0.0625,0.0891,True,2.19
[1; 4],[1; 5],0.0246,0.0,0.0113,0.0379,True,10.95
[1; 4],[2; 1],0.0457,0.0,0.0324,0.059,True,3.41
[1; 4],[3; 1],0.0547,0.0,0.0414,0.068,True,3.34
[1; 4],[4; 1],0.0557,0.0,0.0424,0.069,True,2.96
[1; 4],[5; 1],0.0594,0.0,0.0461,0.0727,True,2.86
[1; 5],[2; 1],0.021,0.0,0.0077,0.0343,True,10.88
[1; 5],[3; 1],0.0301,0.0,0.0168,0.0434,True,7.77
[1; 5],[4; 1],0.0311,0.0,0.0178,0.0444,True,6.23
[1; 5],[5; 1],0.0348,0.0,0.0215,0.0481,True,5.48
[2; 1],[3; 1],0.009,0.4581,-0.0043,0.0223,False,55.74
[2; 1],[4; 1],0.0101,0.3038,-0.0032,0.0234,False,34.17
[2; 1],[5; 1],0.0138,0.0355,0.0005,0.0271,True,20.36
[3; 1],[4; 1],0.001,1.0,-0.0123,0.0143,False,4612.31
[3; 1],[5; 1],0.0048,0.9711,-0.0085,0.0181,False,238.76
[4; 1],[5; 1],0.0037,0.9942,-0.0096,0.017,False,312.45
