group1,group2,meandiff,p-adj,lower,upper,reject,needed samples
[1; 1],[1; 2],-0.066,0.0001,-0.1081,-0.024,True,5.78
[1; 1],[1; 3],-0.1285,0.0,-0.1706,-0.0865,True,3.7
[1; 1],[1; 4],-0.2105,0.0,-0.2526,-0.1684,True,2.92
[1; 1],[1; 5],-0.1685,0.0,-0.2105,-0.1264,True,3.27
[1; 1],[2; 1],0.0131,0.9882,-0.029,0.0551,False,71.97
[1; 1],[3; 1],0.0239,0.6973,-0.0182,0.066,False,15.6
[1; 1],[4; 1],0.0135,0.9853,-0.0286,0.0556,False,75.6
[1; 1],[5; 1],0.0042,1.0,-0.0379,0.0463,False,738.91
[1; 2],[1; 3],-0.0625,0.0002,-0.1046,-0.0204,True,13.5
[1; 2],[1; 4],-0.1445,0.0,-0.1865,-0.1024,True,4.91
[1; 2],[1; 5],-0.1024,0.0,-0.1445,-0.0603,True,7.24
[1; 2],[2; 1],0.0791,0.0,0.037,0.1212,True,4.47
[1; 2],[3; 1],0.09,0.0,0.0479,0.132,True,3.35
[1; 2],[4; 1],0.0795,0.0,0.0375,0.1216,True,4.66
[1; 2],[5; 1],0.0703,0.0,0.0282,0.1123,True,5.5
[1; 3],[1; 4],-0.082,0.0,-0.124,-0.0399,True,15.61
[1; 3],[1; 5],-0.0399,0.0783,-0.082,0.0022,False,54.01
[1; 3],[2; 1],0.1416,0.0,0.0995,0.1837,True,3.32
[1; 3],[3; 1],0.1525,0.0,0.1104,0.1945,True,2.93
[1; 3],[4; 1],0.142,0.0,0.1,0.1841,True,3.37
[1; 3],[5; 1],0.1328,0.0,0.0907,0.1748,True,3.62
[1; 4],[1; 5],0.0421,0.0502,-0.0,0.0841,False,65.26
[1; 4],[2; 1],0.2236,0.0,0.1815,0.2656,True,2.77
[1; 4],[3; 1],0.2344,0.0,0.1923,0.2765,True,2.6
[1; 4],[4; 1],0.224,0.0,0.1819,0.2661,True,2.79
[1; 4],[5; 1],0.2147,0.0,0.1727,0.2568,True,2.89
[1; 5],[2; 1],0.1815,0.0,0.1394,0.2236,True,3.04
[1; 5],[3; 1],0.1924,0.0,0.1503,0.2344,True,2.79
[1; 5],[4; 1],0.182,0.0,0.1399,0.224,True,3.07
[1; 5],[5; 1],0.1727,0.0,0.1306,0.2147,True,3.23
[2; 1],[3; 1],0.0109,0.9966,-0.0312,0.0529,False,73.64
[2; 1],[4; 1],0.0004,1.0,-0.0416,0.0425,False,69108.2
[2; 1],[5; 1],-0.0088,0.9992,-0.0509,0.0332,False,171.24
[3; 1],[4; 1],-0.0104,0.9975,-0.0525,0.0317,False,93.92
[3; 1],[5; 1],-0.0197,0.871,-0.0618,0.0224,False,25.61
[4; 1],[5; 1],-0.0093,0.9989,-0.0514,0.0328,False,172.67
[1; 1],[1; 2],-0.0456,0.0005,-0.078,-0.0133,True,11.11
[1; 1],[1; 3],-0.0857,0.0,-0.118,-0.0534,True,5.4
[1; 1],[1; 4],-0.1386,0.0,-0.1709,-0.1063,True,2.7
[1; 1],[1; 5],-0.1333,0.0,-0.1656,-0.1009,True,3.44
[1; 1],[2; 1],0.0138,0.9208,-0.0186,0.0461,False,114.5
[1; 1],[3; 1],0.0255,0.2555,-0.0069,0.0578,False,26.33
[1; 1],[4; 1],0.0156,0.8499,-0.0167,0.0479,False,95.07
[1; 1],[5; 1],0.0252,0.2691,-0.0072,0.0575,False,28.69
[1; 2],[1; 3],-0.0401,0.0042,-0.0724,-0.0077,True,19.09
[1; 2],[1; 4],-0.093,0.0,-0.1253,-0.0606,True,3.92
[1; 2],[1; 5],-0.0876,0.0,-0.12,-0.0553,True,5.83
[1; 2],[2; 1],0.0594,0.0,0.0271,0.0917,True,6.59
[1; 2],[3; 1],0.0711,0.0,0.0388,0.1034,True,4.04
[1; 2],[4; 1],0.0612,0.0,0.0289,0.0936,True,6.64
[1; 2],[5; 1],0.0708,0.0,0.0385,0.1031,True,4.28
[1; 3],[1; 4],-0.0529,0.0,-0.0852,-0.0206,True,12.99
[1; 3],[1; 5],-0.0475,0.0002,-0.0799,-0.0152,True,21.5
[1; 3],[2; 1],0.0995,0.0,0.0672,0.1318,True,4.21
[1; 3],[3; 1],0.1112,0.0,0.0788,0.1435,True,3.28
[1; 3],[4; 1],0.1013,0.0,0.069,0.1337,True,4.24
[1; 3],[5; 1],0.1109,0.0,0.0786,0.1432,True,3.37
[1; 4],[1; 5],0.0054,0.9999,-0.027,0.0377,False,1413.82
[1; 4],[2; 1],0.1524,0.0,0.12,0.1847,True,2.45
[1; 4],[3; 1],0.1641,0.0,0.1317,0.1964,True,2.17
[1; 4],[4; 1],0.1542,0.0,0.1219,0.1865,True,2.48
[1; 4],[5; 1],0.1638,0.0,0.1314,0.1961,True,2.21
[1; 5],[2; 1],0.147,0.0,0.1147,0.1794,True,3.03
[1; 5],[3; 1],0.1587,0.0,0.1264,0.191,True,2.64
[1; 5],[4; 1],0.1489,0.0,0.1165,0.1812,True,3.05
[1; 5],[5; 1],0.1584,0.0,0.1261,0.1908,True,2.68
[2; 1],[3; 1],0.0117,0.9692,-0.0206,0.044,False,109.31
[2; 1],[4; 1],0.0018,1.0,-0.0305,0.0342,False,6276.89
[2; 1],[5; 1],0.0114,0.9733,-0.0209,0.0437,False,123.41
[3; 1],[4; 1],-0.0098,0.9896,-0.0422,0.0225,False,168.28
[3; 1],[5; 1],-0.0003,1.0,-0.0326,0.0321,False,144289.0
[4; 1],[5; 1],0.0096,0.9914,-0.0228,0.0419,False,190.55
[1; 1],[1; 2],-0.0097,0.9555,-0.0351,0.0156,False,139.21
[1; 1],[1; 3],-0.0193,0.3016,-0.0446,0.0061,False,39.55
[1; 1],[1; 4],-0.0614,0.0,-0.0868,-0.036,True,5.93
[1; 1],[1; 5],-0.0568,0.0,-0.0822,-0.0315,True,8.65
[1; 1],[2; 1],0.0029,1.0,-0.0225,0.0283,False,1228.28
[1; 1],[3; 1],0.0106,0.9269,-0.0147,0.036,False,78.45
[1; 1],[4; 1],0.008,0.9872,-0.0174,0.0333,False,181.91
[1; 1],[5; 1],0.0082,0.9846,-0.0172,0.0336,False,136.52
[1; 2],[1; 3],-0.0095,0.9613,-0.0349,0.0158,False,177.41
[1; 2],[1; 4],-0.0517,0.0,-0.077,-0.0263,True,8.48
[1; 2],[1; 5],-0.0471,0.0,-0.0724,-0.0217,True,12.83
[1; 2],[2; 1],0.0127,0.8247,-0.0127,0.038,False,76.44
[1; 2],[3; 1],0.0204,0.2298,-0.005,0.0458,False,26.13
[1; 2],[4; 1],0.0177,0.4189,-0.0077,0.0431,False,42.92
[1; 2],[5; 1],0.0179,0.4006,-0.0074,0.0433,False,34.47
[1; 3],[1; 4],-0.0421,0.0,-0.0675,-0.0168,True,12.82
[1; 3],[1; 5],-0.0376,0.0002,-0.0629,-0.0122,True,20.38
[1; 3],[2; 1],0.0222,0.1407,-0.0032,0.0475,False,27.99
[1; 3],[3; 1],0.0299,0.0083,0.0045,0.0553,True,14.03
[1; 3],[4; 1],0.0272,0.0249,0.0019,0.0526,True,20.35
[1; 3],[5; 1],0.0275,0.0228,0.0021,0.0528,True,16.88
[1; 4],[1; 5],0.0046,0.9997,-0.0208,0.0299,False,1490.27
[1; 4],[2; 1],0.0643,0.0,0.0389,0.0897,True,5.27
[1; 4],[3; 1],0.072,0.0,0.0467,0.0974,True,4.18
[1; 4],[4; 1],0.0694,0.0,0.044,0.0947,True,4.93
[1; 4],[5; 1],0.0696,0.0,0.0442,0.095,True,4.44
[1; 5],[2; 1],0.0597,0.0,0.0344,0.0851,True,7.66
[1; 5],[3; 1],0.0675,0.0,0.0421,0.0928,True,5.92
[1; 5],[4; 1],0.0648,0.0,0.0394,0.0902,True,6.94
[1; 5],[5; 1],0.065,0.0,0.0397,0.0904,True,6.35
