nDCG,AUC,rND,GPA,Schedule
0.9950631387126476,0.00716178565443271,0.026065009928042122,0.00022034587101349423,[1; 1]
0.9737098585700869,0.05839932126696834,0.02396651425553509,0.0008738730698854003,[2; 1]
0.8227752155463267,0.0509049773755656,0.025435176510869326,0.0010608417080187893,[3; 1]
0.8237962756512625,0.05854072398190047,0.03755911875412878,0.00253100216570723,[4; 1]
0.8418206645771243,0.04934954751131221,0.025790405413560997,0.0017866145546472367,[5; 1]
0.8117820148661801,0.0541572398190045,0.027822225545922903,0.0013243037645491729,[6; 1]
0.8054903655421123,0.042420814479638025,0.02584685424649467,0.0006355775280667553,[7; 1]
0.6576475376979996,0.001287213603390071,0.025094746589778588,0.001935032263182479,[1; 2]
0.98096373479062,0.009769132011779074,0.024413736694051582,0.0006667814212014678,[2; 2]
0.9924004948456709,0.047652714932126694,0.037528623305333055,0.0021107273847810193,[3; 2]
0.8397757125467937,0.008444884364002038,0.0297364022941689,0.001101195938016164,[4; 2]
0.991896937592082,0.05302601809954749,0.023379818584304005,0.001348220990627036,[5; 2]
0.8502807571423329,0.05189479638009048,0.027768352554708463,0.0018463628598807125,[6; 2]
0.8339823881933216,0.0509049773755656,0.031733448676331766,0.0008962732593714717,[7; 2]
0.9327325795233022,0.00023791567909214884,0.031350209533111635,0.0012946319907737314,[1; 3]
0.9921849010973989,0.002901748306160064,0.030688451738226288,0.012234601699044556,[2; 3]
0.8726527574237365,0.08055316143551434,0.03235396610077605,0.013489281095253158,[3; 3]
0.9970176417311691,0.0026297912327323996,0.025076012780194237,0.0002472103465833708,[4; 3]
0.8085295642583097,0.04963235294117646,0.02392992495839782,0.0004344746293726276,[5; 3]
0.9773769372203098,0.0046060625104742715,0.031342917831725256,0.001988546478429387,[6; 3]
0.9909264837303069,0.037754524886877805,0.02660572885875717,0.0005689734746187058,[7; 3]
0.9959052922172509,1.3466925231631066e-05,0.030750028909641028,0.0005030495700572013,[1; 4]
0.9989593713740217,0.005974825827767005,0.034626569010611404,0.0003071478189888843,[2; 4]
0.8621629599792103,0.005629922909334662,0.021227684959599386,0.012578788611638303,[3; 4]
0.9984437596872603,0.004793103138691371,0.02135137773048556,0.0008675550587430303,[4; 4]
0.9935319661903205,0.002528415212238739,0.027414399077925988,0.002200368736448688,[5; 4]
0.9976026962875463,0.004586610285139681,0.025939700389842283,0.00013334716075719122,[6; 4]
0.8761869910273922,0.017954403983815738,0.02664579193119341,0.0026700304925997287,[7; 4]
0.9999194546947782,0.0017465853862912626,0.026596466281194456,0.0015395536708581181,[1; 5]
0.999993278773343,0.0001604808590102702,0.023969369790446428,8.19709631346699e-05,[2; 5]
0.8675922163681494,0.0866192630898513,0.04292947057622016,0.008404340546858458,[3; 5]
0.9320632615562975,0.010888757212286616,0.02943810226576693,0.0005130420708687744,[4; 5]
0.9871413293544324,0.0007717296320237474,0.024446155943219285,0.0006060321816148129,[5; 5]
0.8583421752930162,0.027007170389523334,0.05486081025106684,0.0045212275314341355,[6; 5]
0.9801054778186146,0.05260180995475111,0.027547738087102428,0.0011093349788707796,[7; 5]
0.6215379549574046,0.0095944360650243,0.023655456756370527,0.008540313243441844,[1; 6]
0.7201150423817005,0.12271324127941777,0.032685063495768434,0.019006626708338192,[2; 6]
0.9952835210942471,0.0017185292920586983,0.02444548268063424,2.7747291522550732e-05,[3; 6]
0.9049781949149045,0.0019295111206875893,0.02998409251592435,0.005704988976353742,[4; 6]
0.9902524822741088,3.142282554047249e-05,0.0272775677414815,0.0001077138353372531,[5; 6]
0.8504998363114525,0.08128785702315111,0.06452308553396995,0.00535440561744871,[6; 6]
0.4816009294512084,0.0016496983408748086,0.03322164052563073,0.011898165031076213,[7; 6]
0.8554648130866598,0.003940197874021393,0.04078645896409581,0.0037845738796479234,[1; 7]
0.1623082809988933,0.3978660908807968,0.03355512936451393,0.010880413400366495,[2; 7]
0.8476448895144593,0.00044702710143886454,0.026411708028089377,0.0035006428044556115,[3; 7]
0.9815023961838346,0.00903892539921949,0.01978396479571033,0.006927724642627364,[4; 7]
0.48305441179328146,0.06081925291484115,0.07465157351478095,0.031931419032348196,[5; 7]
0.9998038678125075,0.00012606538341832443,0.02598929603771518,0.00024245510119624836,[6; 7]
0.9940826313171892,0.018364022959611186,0.02120182406416899,0.00017741760143019647,[7; 7]
0.1307367138954654,0.2945302586846704,0.04999194194735079,0.034541977916483724,BaseDR
