nDCG,AUC,rND,GPA,Schedule
0.7584095012915011,0.0735294117647059,0.2562669437350312,0.005224019253048384,[1; 1]
0.8134498725353563,0.058257918552036214,0.2752830190702968,0.0020689221683948267,[2; 1]
0.8370068130545715,0.056702488687782826,0.2727257862694214,0.0021622531207579065,[3; 1]
0.804289099261124,0.06660067873303166,0.27258255469122583,0.000749022154878265,[4; 1]
0.7966712535629303,0.05627828054298645,0.2687929427456113,0.00142950850582646,[5; 1]
0.7689160151577322,0.054864253393665185,0.2620010882784964,0.0067256568926585825,[6; 1]
0.8132066614267974,0.057126696832579205,0.27351676728102464,0.0013348393099035238,[7; 1]
0.696183627422738,0.05458144796380088,0.2202889278947275,0.011595884969500148,[1; 2]
0.8302135717651543,0.05797511312217196,0.27192786695690135,0.0010022374361665642,[2; 2]
0.8352091189913756,0.054298642533936625,0.2674275924160892,0.005408101105018215,[3; 2]
0.8212114688240518,0.054298642533936625,0.27582653799215945,0.0025270021510002127,[4; 2]
0.8527455085531592,0.05514705882352944,0.28008827653659435,0.0017527530419044757,[5; 2]
0.7803565666553385,0.05345022624434387,0.2726656621627823,0.011652596781984603,[6; 2]
0.8256053109893784,0.05585407239819007,0.2749677127074819,0.0010949590575627388,[7; 2]
0.9160977714022007,0.05514705882352944,0.24931928547631707,0.021184224039349164,[1; 3]
0.7950233461129721,0.05585407239819007,0.25284538522814043,0.003288276917532418,[2; 3]
0.8297265955059834,0.05910633484162897,0.2583478251135375,0.0038019559852315865,[3; 3]
0.8252308082292591,0.05839932126696834,0.267083517799634,0.0034528369559054806,[4; 3]
0.8465642756960424,0.05726809954751133,0.27583248751777373,0.002776183418506162,[5; 3]
0.8075012301304441,0.055288461538461564,0.26089793090322233,0.0036073483866037037,[6; 3]
0.8182001148756636,0.059671945701357476,0.27108886381205727,0.0021594461381151397,[7; 3]
0.7152202038413857,0.03803733031674206,0.20379189332009692,0.03242736032656213,[1; 4]
0.8209278756484,0.05797511312217196,0.26831458052948703,0.0024056543017816345,[2; 4]
0.82986924162517,0.05514705882352944,0.2657336022737805,0.0001834212313427397,[3; 4]
0.8078957412749564,0.05868212669683259,0.268782860159558,0.002191213117788471,[4; 4]
0.8247697315417479,0.0565610859728507,0.27028846285750097,0.0007602017551703311,[5; 4]
0.8170567721594186,0.05613687782805432,0.26943230491064085,0.0023537328417861936,[6; 4]
0.6764576070639119,0.06447963800904977,0.22730384800373815,0.00535628265788346,[7; 4]
0.5448140203525248,0.0026971258588905636,0.10385390584977636,0.13064821526158366,[1; 5]
0.8557678606644225,0.05033936651583709,0.25501004502549746,0.009394362667680456,[2; 5]
0.8211794286069017,0.05500565610859731,0.25354216026786874,0.005437872613425987,[3; 5]
0.8064600398331399,0.054298642533936625,0.2710672332325442,0.0021743053804090806,[4; 5]
0.8046630252122203,0.05811651583710409,0.2678929904061753,0.0031697420074184857,[5; 5]
0.8381244642028014,0.05613687782805432,0.27457256547195324,0.0035485846484131223,[6; 5]
0.8298753490855294,0.05726809954751133,0.26477830865013124,0.004139640115787047,[7; 5]
0.8423889023340344,0.004064766932413982,0.15528162014812746,0.07802638960082964,[1; 6]
0.8258415983864702,0.05260180995475111,0.23477008458593568,0.023354155472960603,[2; 6]
0.8702059563617293,0.01319571632071633,0.27171429334838454,0.012694059573979288,[3; 6]
0.8216477776000483,0.08130656108597284,0.26392582731044273,0.00031320030150161493,[4; 6]
0.7896803714338677,0.05458144796380088,0.26719880131281837,0.005498504324439435,[5; 6]
0.8466647285032861,0.05811651583710409,0.2654585026505214,0.007868138676244363,[6; 6]
0.8079111285324898,0.07253959276018102,0.24374414240433753,0.00717754119362124,[7; 6]
0.9487976951317793,0.004300438123967527,0.28840923676619545,0.006345811605720009,[1; 7]
0.6608005973088011,0.000681576049223106,0.22171003689791408,0.0047979825847068724,[2; 7]
0.7964495993500798,0.05585407239819007,0.25275892825874513,0.001868148349990717,[3; 7]
0.8036649789271391,0.0592477375565611,0.26351984241540355,0.0006463696978750155,[4; 7]
0.7010845574551373,0.055571266968325816,0.2441223640792502,0.0010577267602561724,[5; 7]
0.8142471437139464,0.05444004524886875,0.24913222205672533,0.00856711995430759,[6; 7]
0.7910951605003786,0.05839932126696834,0.25725115284375344,0.004342085023330777,[7; 7]
0.49674875548281777,0.0013702596423184634,0.1170988539337441,0.09374567671140266,[[1; 0]; [1; 5]]
0.7212581350360162,0.0008184897890780231,0.062204367264909785,0.20090552968641717,[[1; 0]; [1; 5]]
0.7674995384842189,0.00042682671359141794,0.1306882729626212,0.12721334552043317,[[1; 0]; [1; 5]]
0.5933832292486589,0.0017536929301635133,0.10759213289920395,0.12617880174320373,[[1; 0]; [1; 5]]
