nDCG,AUC,rND,GPA,Schedule
0.7435045942547114,0.0735294117647059,0.2562669437350312,0.005224019253048384,[1; 1]
0.827156725091921,0.058257918552036214,0.2752830190702968,0.0020689221683948267,[2; 1]
0.8304802122855486,0.056702488687782826,0.2727257862694214,0.0021622531207579065,[3; 1]
0.8048983201296839,0.06660067873303166,0.27258255469122583,0.000749022154878265,[4; 1]
0.8138098032579064,0.05627828054298645,0.2687929427456113,0.00142950850582646,[5; 1]
0.7752700891206199,0.054864253393665185,0.2620010882784964,0.0067256568926585825,[6; 1]
0.8199254839016121,0.057126696832579205,0.27351676728102464,0.0013348393099035238,[7; 1]
0.7118916311304431,0.05458144796380088,0.2202889278947275,0.011595884969500148,[1; 2]
0.8154222491773645,0.05797511312217196,0.27192786695690135,0.0010022374361665642,[2; 2]
0.8074671792813117,0.054298642533936625,0.2674275924160892,0.005408101105018215,[3; 2]
0.79613208581762,0.054298642533936625,0.27582653799215945,0.0025270021510002127,[4; 2]
0.8398545092468097,0.05514705882352944,0.28008827653659435,0.0017527530419044757,[5; 2]
0.7846480212495817,0.05345022624434387,0.2726656621627823,0.011652596781984603,[6; 2]
0.8147674557835541,0.05585407239819007,0.2749677127074819,0.0010949590575627388,[7; 2]
0.9209862501457254,0.05514705882352944,0.24931928547631707,0.021184224039349164,[1; 3]
0.8128674460250537,0.05585407239819007,0.25284538522814043,0.003288276917532418,[2; 3]
0.8406762645313327,0.05910633484162897,0.2583478251135375,0.0038019559852315865,[3; 3]
0.8273487553762812,0.05839932126696834,0.267083517799634,0.0034528369559054806,[4; 3]
0.8284621788951203,0.05726809954751133,0.27583248751777373,0.002776183418506162,[5; 3]
0.7992729081482866,0.055288461538461564,0.26089793090322233,0.0036073483866037037,[6; 3]
0.8152133015088203,0.059671945701357476,0.27108886381205727,0.0021594461381151397,[7; 3]
0.7245427598586334,0.03803733031674206,0.20379189332009692,0.03242736032656213,[1; 4]
0.7926426315178684,0.05797511312217196,0.26831458052948703,0.0024056543017816345,[2; 4]
0.8052410158031552,0.05514705882352944,0.2657336022737805,0.0001834212313427397,[3; 4]
0.8319491164003271,0.05868212669683259,0.268782860159558,0.002191213117788471,[4; 4]
0.8117462682580336,0.0565610859728507,0.27028846285750097,0.0007602017551703311,[5; 4]
0.8185665931684984,0.05613687782805432,0.26943230491064085,0.0023537328417861936,[6; 4]
