priors_count,score_text,decile_score,c_charge_degree_0,c_charge_degree_1,sex_0,sex_1,race_0,race_1,age_cat_0,age_cat_1,age_cat_2
0,1,3,0,1,0,1,1,0,1,0,0
4,1,4,0,1,0,1,1,0,0,0,1
1,0,8,0,1,0,1,1,0,0,0,1
14,2,6,0,1,0,1,0,1,1,0,0
0,1,1,1,0,1,0,0,1,1,0,0
1,1,3,0,1,0,1,0,1,0,0,1
0,1,4,0,1,0,1,0,1,1,0,0
3,2,6,1,0,0,1,1,0,0,0,1
0,1,1,1,0,1,0,0,1,1,0,0
0,1,4,0,1,0,1,1,0,1,0,0
1,1,1,0,1,1,0,0,1,0,1,0
7,1,3,0,1,0,1,1,0,1,0,0
3,0,10,0,1,0,1,1,0,1,0,0
6,2,5,0,1,0,1,0,1,1,0,0
5,1,3,0,1,0,1,0,1,1,0,0
13,2,6,0,1,0,1,1,0,0,1,0
1,0,9,0,1,0,1,1,0,0,0,1
0,1,2,1,0,0,1,0,1,1,0,0
0,1,4,0,1,1,0,0,1,0,0,1
1,1,1,1,0,0,1,0,1,1,0,0
8,1,3,0,1,0,1,1,0,1,0,0
3,1,3,0,1,1,0,0,1,1,0,0
5,2,7,0,1,0,1,1,0,1,0,0
0,0,10,0,1,0,1,1,0,1,0,0
9,0,9,0,1,0,1,0,1,1,0,0
4,0,8,0,1,0,1,1,0,1,0,0
0,1,1,0,1,0,1,0,1,0,1,0
6,0,8,1,0,0,1,0,1,1,0,0
4,2,5,1,0,1,0,0,1,1,0,0
1,1,2,1,0,0,1,0,1,0,0,1
21,0,9,0,1,0,1,1,0,1,0,0
0,1,2,1,0,0,1,0,1,1,0,0
2,0,8,0,1,1,0,1,0,0,0,1
2,1,1,1,0,0,1,1,0,0,1,0
2,1,2,1,0,0,1,0,1,1,0,0
7,1,2,0,1,1,0,1,0,0,1,0
0,2,7,0,1,0,1,1,0,1,0,0
9,0,10,1,0,0,1,0,1,1,0,0
13,0,8,0,1,0,1,1,0,1,0,0
0,1,1,1,0,0,1,0,1,0,1,0
4,1,3,1,0,0,1,1,0,1,0,0
0,1,4,0,1,0,1,1,0,1,0,0
1,1,2,0,1,0,1,0,1,1,0,0
20,2,6,0,1,0,1,0,1,0,1,0
15,2,5,0,1,0,1,1,0,1,0,0
2,1,4,0,1,0,1,1,0,0,0,1
4,1,1,1,0,0,1,1,0,0,1,0
8,2,5,0,1,0,1,0,1,0,1,0
5,1,3,0,1,0,1,1,0,1,0,0
10,2,7,1,0,0,1,1,0,0,1,0
15,0,10,0,1,0,1,1,0,1,0,0
4,1,2,1,0,0,1,0,1,1,0,0
1,1,4,0,1,0,1,1,0,0,0,1
2,0,10,0,1,0,1,1,0,0,0,1
4,0,9,0,1,0,1,1,0,1,0,0
6,2,6,0,1,0,1,1,0,1,0,0
0,1,1,1,0,1,0,1,0,0,1,0
1,1,4,1,0,0,1,1,0,1,0,0
5,2,6,0,1,0,1,1,0,1,0,0
1,2,6,0,1,0,1,0,1,1,0,0
2,1,2,0,1,0,1,1,0,1,0,0
1,1,3,1,0,0,1,1,0,0,0,1
0,0,8,0,1,0,1,0,1,0,0,1
